"代币地址","代币符号","类别","Twitter","网站","Telegram","任一社交"
"0x14367b92f64547a6a5b612cd3de77884e3c74444","COOKS","fake_pump","Y","Y","N","Y"
"0xe6f203c693b09568921f2769cd69031d71fb4444","白菜对我笑","fake_pump","Y","Y","N","Y"
"0x53d429d7d049bbb9d1af95eba40756cf493affff","养蛊","high_quality","Y","N","N","Y"
"0x157c2e4e31597682ca44ca5d0d21d4eb4ba74444","Constitution","mid_quality","Y","Y","N","Y"
"0xed1916b7f30a1145d4821219de1891efb908ffff","三生万物","high_quality","Y","N","N","Y"
"0xfea73dd6d9fa8612fc73479b96dc5088ff26ffff","Utility","low_quality","Y","Y","N","Y"
"0xa6667e40f368069c6b02de4b860da98164a54444","BNB2","low_quality","N","Y","N","Y"
"0x9bc7e5a72c479f639cea138547c27400e5ff4444","WHWIRE","low_quality","Y","Y","N","Y"
"0xfe36dfc1293274805797f860eba4c23e2cdb4444","三生万物","fake_pump","Y","N","N","Y"
"0x1c56c487b665cbedfc4124232596c79d69ffffff","黑金猫","fake_pump","N","N","N","N"
"0xe6fc008ee42d4ce3dbbc12d97dccfbf033b07777","燃烧之火","fake_pump","Y","N","N","Y"
"0x7c3ab27b15f265811452a2b0bcf577584ef67777","狗狗币","mid_quality","N","N","N","N"
"0xb14b7a538e8ffd79ff6ae7ac11a567b25dd37777","一步登天","mid_quality","N","N","N","N"
"0xbb81261207e47a2aa2df803ff6a2d8b3ba724444","币安老虎机","fake_pump","Y","Y","N","Y"
"0xfb52987cd42ed958f8c1a834a11d17ec2ebbffff","BB","low_quality","Y","N","N","Y"
"0x2f0fc9eb6eb5267138d72cd1e5b933f0e52c4444","牧马人","fake_pump","N","N","N","N"
"0x4bba725e321847d7e9fa040f01acbfacc5feffff","MBGA","low_quality","Y","N","N","Y"
"0x00c1c2be91a3abf17cb29bc25a2874b87c72ffff","火球","mid_quality","Y","N","N","Y"
"0x0224eb4f36be1a0cc63dcdcaa9346a62e2fb4444","金马黑盾","fake_pump","N","N","N","N"
"0x3357d89328b56e36edb665e90c8495356ec8ffff","10全10美","low_quality","Y","N","N","Y"
"0x09f905afec8ad84a36c171a2b1e3f37eebb54444","火马","fake_pump","Y","N","Y","Y"
"0x742ca8140d67077acfefb6a3602933348fedffff","五行","mid_quality","Y","N","N","Y"
"0x7ff8982e661880e1c1dab4987650c2c0ca92ffff","唵嘛呢叭咪吽","mid_quality","Y","Y","N","Y"
"0x648d32c7906198746a8151fbebd3294f57d27777","DOGSHIT","low_quality","Y","N","N","Y"
"0x2a6e1389f547f6a088772d8706f27d45169bffff","DOGSHIT","low_quality","Y","N","N","Y"
"0xe916675f90c42a779b824c0f388c995420edffff","超级燃烧","mid_quality","Y","N","N","Y"
"0x056706aedddf387511bef1353eb4ec9599bf4444","gork420","fake_pump","Y","N","N","Y"
"0x175dbb3331810acf19d169eaf11bfbd167497777","888蝴蝶","low_quality","Y","N","N","Y"
"0x563d9f43e6db31ca33f3af7475b87cb1d8684444","Slurmit","high_quality","Y","Y","N","Y"
"0x0eea2c8968a0b25d7aec8e6dfcd18b503bc64444","币安老虎机","fake_pump","Y","Y","N","Y"
"0xf817686609f1c524f11e9920dd44ec591e3d7777","燃烧蝴蝶","low_quality","Y","N","N","Y"
"0x9da6dfee03b96110f8d3fe0c2be49c5a236c4444","奶豆","fake_pump","Y","Y","N","Y"
"0x8b9bdb8a75df5d9ef0ef513ceacbe5e950864444","4","fake_pump","Y","Y","Y","Y"
"0xe70f4caf83e758506846ab371fbdedd4cb8d7777","SCUT","low_quality","Y","N","N","Y"
"0xfca0fa98bda76f840a065f8c7c4b06f8e4e77777","GUILD","low_quality","Y","N","N","Y"
"0x4e63c0de139b1abb00e73ebd906eddc58cf57777","知行何一","high_quality","N","N","N","N"
"0x72c1ac163f7cf43baff980e62c4ec51295944444","一粒米鸭","mid_quality","Y","Y","N","Y"
"0x050f052ab0634e235c87f6093505659fe8034444","大狗大狗","mid_quality","Y","Y","N","Y"
"0x37f9f8a095be277f70e773f6df3cb3103f664444","dogdog","mid_quality","Y","Y","N","Y"
"0x7bb8f0bfc823c6e14e6dd824c62bdd4cd230ffff","asdfd2","low_quality","N","N","N","N"
"0xc601c87968e0aa3f2d206da4d130234941d14444","Cha Kouay","low_quality","Y","Y","N","Y"
"0x4ea7142012fb4eb493114961c554b14a10ad4444","丑鱼","low_quality","Y","Y","N","Y"
"0xee5f05d2f95bef0fe767fb45d65b968ef3784444","teamgold","fake_pump","Y","N","N","Y"
"0x009b31adf3afda8882732983301432ed51d94444","没脑子","low_quality","Y","N","N","Y"
"0x6502a5a69e4a557844aa5d363cf43fb17e577777","GORKLON","low_quality","Y","N","N","Y"
"0x2ea095c42444d9ee540bb1ae6acdb021fca9ffff","X-金库","high_quality","Y","N","Y","Y"
"0x35e79fa76753ce9177ac53d5dd6c0fac74874444","FLAPAGENT","fake_pump","Y","N","N","Y"
"0x8b3d626249ed627444bbb691d41333a9293a4444","有借有还","fake_pump","Y","N","N","Y"
"0x8ee658048edd5c6812d3361008d173cfdaa4ffff","攒","low_quality","Y","N","N","Y"
"0xf34c16d9e4fbcaee05f80ba4e89dc506b3d14444","ELys","low_quality","N","Y","N","Y"
"0x407f257846f902ec95561e12d54a2895382a7777","FB","low_quality","Y","N","N","Y"
"0x53d5a9c6e18904f8ebfef073d4368a37c1504444","Asterus","fake_pump","N","N","N","N"
"0x459ac519e9b4c29461ad98e75ff3e89f00634444","Goblin","low_quality","Y","N","N","Y"
"0x975005ecee691d90fe35fcb01623f17a71cb4444","Lista","fake_pump","Y","Y","N","Y"
"0x5e95c36976b31efef740879a1770525c60a54444","clod","fake_pump","Y","N","N","Y"
"0x591da92b0873dd82a062a1102f1a1cb5fd094444","SEC","fake_pump","Y","N","N","Y"
"0x9f3666678674309dca4bf6e314786fc4fa4b7777","火灵珠","fake_pump","Y","N","N","Y"
"0x5f9dbb46c7864216429609580a94c96d02934444","four ball","fake_pump","Y","Y","N","Y"
"0x04523c406d562409f075514abfd4bdc0fc534444","BABYPUNCH","high_quality","Y","N","N","Y"
