token_address,symbol,type,original_trades,filtered_trades,filtered_out,filter_ratio,total_gaps,block_gap_mean,block_gap_min,block_gap_max,block_gap_p25,block_gap_p50,block_gap_p75,block_gap_p90,block_gap_p95,gap_0_count,gap_1_count,gap_2_count,gap_3_count,gap_4to5_count,gap_6to10_count,gap_over10_count
0x0da3a0a3bd66bbeaaa4d35d12cb9ea3725294444,龙虾人,pump,313,244,69,0.22,243,0.71,-2,12,0,0,1,3,3,97,50,15,26,9,2,1
0x16aeb87aeb78e4cf7987f16e910c285d77354444,AGENTGDP,normal,102,76,26,0.25,75,2.45,-2,19,0,1,4,7,9,16,16,7,5,10,8,3
0x98fe71847aa16d9e40a4f0e123d172bc71d14444,币安矩阵,pump,180,136,44,0.24,135,1.26,-2,17,0,1,2,3,4,45,29,21,14,8,3,1
0xa9fe96fd5230a135ada220523032b3e1a67d4444,WorkBuddy,normal,209,175,34,0.16,174,0.93,-2,9,0,1,2,3,4,56,36,31,12,6,5,0
0x721f5abc0d34948aa0904ba135cc4d9c6ff84444,虾头男,pump,214,174,40,0.19,173,1.11,-2,11,0,0,2,3,5,67,25,28,17,9,4,1
0x2be52e98e45ed3d27f56284972b3545dac964444,逆克莱默,pump,76,66,10,0.13,65,2.32,-1,11,0,2,3,6,8,14,9,11,16,4,6,1
0xd8d4ddeb91987a121422567260a88230dbb34444,CTO,pump,393,296,97,0.25,295,0.54,-2,8,0,0,1,2,3,124,58,33,15,4,5,0
0x281f05868b5ba9e55869541a117ebb661f474444,宝贝龙虾,pump,157,77,80,0.51,76,2.22,-2,22,0,1,4,6,9,17,12,6,7,11,7,3
0xf3372a3dbc824f0b0044ca77209559514b294444,GLUBSCHIS,pump,295,242,53,0.18,241,0.69,-2,11,0,0,1,3,4,105,44,27,13,10,3,1
0xf40dec26ab76df60a761e78c84682d7117a64444,COS,pump,292,212,80,0.27,211,0.93,-2,10,0,1,2,3,4,69,42,31,20,12,3,0
0x68b04d6e06495866cc810d4179caf97651a5ffff,NINA基金会,pump,131,56,75,0.57,55,3.15,-2,13,1,2,5,8,11,6,6,10,6,10,8,3
0x1443d233e2dbad52df65e6b17063274e6c844444,Lenny,normal,91,76,15,0.16,75,2.6,-2,20,0,2,4,6,9,13,12,12,9,12,7,2
0x1443d233e2dbad52df65e6b17063274e6c844444,Lenny,normal,24,20,4,0.17,19,7.63,0,39,2,4,9,20,39,1,0,5,2,3,4,4
0xb9b1142a28fade5771b7ae076c96c3bee8beffff,龙虾基金,pump,304,237,67,0.22,236,0.72,-2,8,0,0,2,3,4,98,38,29,14,11,5,0
0x4d15d67fcf9bd0b109efa7fc1b150416cca04444,小龙虾,normal,31,30,1,0.03,29,6.86,-1,51,0,3,7,22,34,7,2,1,5,4,2,6
0x4d15d67fcf9bd0b109efa7fc1b150416cca04444,小龙虾,normal,51,46,5,0.10,45,2.87,-2,13,1,2,4,7,8,6,5,9,5,10,4,2
0xd7a23f95c6698c44c7b861408f0d7b47acc74444,来宝,normal,175,117,58,0.33,116,1.44,-2,16,0,1,2,5,6,36,17,17,12,8,6,1
