screen_name,名称,粉丝数,关注数,推文数,频率,蓝标,认证,创建时间,位置,简介,URL,初步判断,分类(留空待填)
bitcoin,Bitcoin,8524191,13,30040,16,是,否,Thu Aug 18 05:06:08 +0000 2011,Worldwide,Bitcoin is an open source censorship-resistant peer-to-peer immutable network. Trackable digital gold. Don't trust; verify. Not your keys; not your coins.,https://t.co/foKG3v5VuE,大账号-被依托,
marionawfal,Mario Nawfal,3339223,51019,219363,22,是,否,Thu Oct 22 14:42:25 +0000 2020,,"Largest Show on X | 24x7 News | Investor 700+ Startups | Founder @ibcgroupio , https://t.co/sw7OQ5KgAW",https://t.co/Lru9VAixI8,大账号-被依托,
iraninarabic_ir,إيران بالعربية,1587145,220,29215,10,否,否,Wed Feb 26 21:01:18 +0000 2020,Islamic Republic of Iran,وكالة إيران بالعربية للأنباء | صوت الجمهورية الاسلامية الايرانية في العالم العربي | مجازة رسمياً من وزارة الثقافة والإرشاد الإسلامي,https://t.co/F44mQRp3Ws,大账号-被依托,
earthcurated,Earth,1196947,44111,25426,28,是,否,Fri Sep 07 19:41:29 +0000 2018,,"""Featuring stunning HD visuals & fascinating facts — curated by the world's greatest photographers and creators.""",,大账号-被依托,
libertycappy,Declaration of Memes,984840,999,18473,18,是,否,Fri Feb 11 05:27:01 +0000 2022,Texas,"🖤💛 Pro: God ✝️, Liberty, Family, Free-Markets, Homesteading, Charity, Homeschool, Satire, Arms, Natural Rights, Voluntaryism - Anti War",https://t.co/S6T6CFdHG8,大账号-被依托,
nikitabier,Nikita Bier,983767,2036,11122,32,是,否,Sun Jul 15 22:44:07 +0000 2012,Palo Alto,"head of product @x, advisor @solana, venture partner @lightspeedvp, ex-founder @gasappteam (acq by discord), ex-founder @thetbhapp (acq by facebook)",,大账号-被依托,
steipete,Peter Steinberger 🦞,484633,2331,138208,86,是,否,Thu Mar 19 22:54:05 +0000 2009,Vienna & London,Polyagentmorous ClawFather. Came back from retirement to mess with AI and help a lobster take over the world @openclaw🦞,https://t.co/VeCkD9BBZx,大账号-被依托,
martypartymusic,MartyParty,242274,21905,135184,10,是,否,Mon Mar 02 17:12:53 +0000 2009,On Chain,"Broadcaster & Host of Spaces⚡Crypto Commentator⚡️Macro Analyst⚡️Computer Scientist⚡️Music Producer⚡️LQL Automated Intelligence⚡️Education, not financial advice",https://t.co/O8J7pLCc5h,大账号-被依托,
xfreeze,X Freeze,190595,1732,25637,24,是,否,Tue Jul 30 15:42:27 +0000 2024,,,,大账号-被依托,
anndylian,Anndy Lian,189902,88,97004,12,是,否,Wed Mar 30 04:40:36 +0000 2011,,"Thought Leader, Intergovernmental Blockchain Advisor, Investor & Best-Selling Author 🙏 DM IS OPEN FOR SUBSCRIBERS ONLY.",https://t.co/7N9abQgNZO,大账号-被依托,
venturetwins,Justine Moore,166081,969,11831,14,是,否,Tue Oct 24 22:38:37 +0000 2017,"San Francisco, CA","Partner @a16z AI 🤖 and twin to @omooretweets | Investor in @elevenlabs, @bfl_ml, @hedra_labs, @krea_ai, @MireloAI, @ShizukuAILabs, @wabi, @WaveFormsAI",,大账号-被依托,
trumpgolfdc,Trump Washington DC,157764,54,1967,10,否,否,Sat Dec 15 18:03:09 +0000 2012,"Sterling, VA",The official Twitter page of Trump National Golf Club Washington D.C. Private Country Club with two Championship-style courses located along the Potomac River.,https://t.co/grruIFcHAR,大账号-被依托,
cryptosis9_okx,九妹-OKX,146462,2875,10168,12,是,否,Mon Aug 12 06:03:07 +0000 2019,,#OKX 💗业务对接请联系：https://t.co/DlIZzTl26b,https://t.co/uQ5BYbs6JK,大账号-被依托,
sisibinance,sisi,141402,2590,15509,14,是,否,Wed Aug 18 09:54:33 +0000 2021,,永远保持进攻的角宿🌟Telegram：ElsieSisi / WeChat：binancesisi2 （其它联系方式均是冒充，请勿相信） 官方Tg：https://t.co/Y7bEmSxL09,https://t.co/ivKxQX5hS4,大账号-被依托,
haze0x,Haze 𝓰𝓶𝓰𝓷𝓪𝓲,138441,2066,10646,104,是,否,Fri Feb 02 05:05:14 +0000 2018,Onchain,"Cooking https://t.co/NVpkvmmdWB  Don't copy trade my wallet, I will sell it at any time.  I have no reason for my trade, just testing the product.",,大账号-被依托,
hana_b30,World's Amazing Things,129664,0,7273,12,是,否,Sun Jul 24 16:28:23 +0000 2022,,"Posting Interesting Science, Art, History, Nature, And More..",,大账号-被依托,
_forab,AB Kuai.Dong,114667,594,14015,16,是,否,Tue Jan 26 05:08:44 +0000 2016,"🇯🇵 Tokyo , Japan",热爱研究、热爱家庭、热爱分享，2016 年入行从业。,,大账号-被依托,
zhu_jingyang,Zhu Jingyang,93312,892,27585,24,是,否,Fri Aug 12 08:13:28 +0000 2016,"Bogotá, Colombia","Cuenta personal del Embajador de la R. P. China en Colombia Ex CG en Barcelona Bloqueo odio, insulto y fake news Embajada de China en Colombia: @china_embajada",https://t.co/NrCUZAX4tj,中大号-待确认,
brc20niubi,王小二,89524,1611,2024,26,是,否,Sun Nov 29 04:23:31 +0000 2020,,我就是全宇宙最厉害的区块链天才，我一定一定一定行！  00后，从前的目标是赚很多很多钱，现在的目标是去很多很多地方做很多很多没做过的事  悲观者正确，乐观者成功  gmgn交易bot:  https://t.co/7m8Q1hhYsT,,中大号-待确认,
nikolaihauckx,Nikolai Hauck,88035,845,7440,36,是,否,Sat Nov 14 02:31:57 +0000 2020,United States,,https://t.co/pN3HBCfSHx,中大号-待确认,
and_khamoo,Khamoo.andthegang,87673,1,2669,16,否,否,Tue Sep 03 07:08:36 +0000 2024,"ชลบุรี, ประเทศไทย",HIPPO THAILAND 🌴,https://t.co/ZokJEqbb1D,中大号-待确认,
xxy177,夏雪宜,76973,758,23801,12,是,否,Mon Aug 14 11:58:33 +0000 2023,Hong Kong,90后投资者、2013老韭菜｜BTC矿工、矿场主｜推崇：价值投资、巴菲特、段永平、芒格 ｜研究：美女、美股、加密、A股、AI、人性…,https://t.co/MipaDf98sX,中大号-待确认,
jesuslvivas,Jesus,71165,6331,52089,28,是,否,Thu Nov 26 10:48:09 +0000 2009,,ForbesWeb3 | @Binance | @BNBChain https://t.co/CWQejpz9kW Affiliate | Brand 📸 | Community is everything | 币安人生 | KAI 🐕,,中大号-待确认,
crypto_cat888,CryptoCat|猫姐🐈,63438,1376,32484,12,是,否,Sun Mar 05 08:28:20 +0000 2023,,控制回撤🐶| memecoin lover👨‍🍳 | 做趋势的朋友😈|交易就来 ALPH https://t.co/GSdCwiKTQd,https://t.co/LPy459zEv9,中大号-待确认,
geniusterminal,Genius,51985,62,6209,14,是,否,Sun Mar 08 01:16:38 +0000 2020,,The Final On-Chain Terminal | Backed by @YziLabs,https://t.co/yMSr29GfwM,中大号-待确认,
dragonskill_,Dragon,50902,0,2,22,否,否,Tue Aug 15 08:58:01 +0000 2023,,,,中大号-待确认,
cardillosamuel,Samuel Cardillo,42730,2042,28668,16,是,否,Sun Jul 31 14:45:19 +0000 2011,Free world,Leveraging technologies to execute visions | Former(?) CTO @RTFKT @Nike | Ex-@Google | CEO @sbreakintl 🛰 | Opinions are my own,,中大号-待确认,
