symbol,address,totalReturn%,slope%/step,R2,riseRatio,sharpe,halfPeriodImprovement,dataPoints
"祭四","0x178e7955d9166c07e39235b808a84653d3f64444","0.41","0.0775","0.762","0.14","0.408","Y","8"
"C旧Y新","0x454b2b370ebce20dd95db831ae17213f1fad4444","-29.92","-7.6007","0.519","0.43","-0.208","N","8"
"C旧Y新","0x081b9fc96c92a27d8e2eb9b695bd6154d9ab4444","1.08","-0.1617","0.043","0.14","0.084","N","8"
"最差春晚","0x0f04e6a6571b0dba04d2072ee55f4e97eebe4444","-2.23","-0.5022","0.519","0.14","-0.208","N","8"
"ONEDAY","0x274f6794cd9ebdf7e1fd9e51accea84246684444","-35.68","-5.4551","0.815","0.14","-0.538","N","8"
"3","0x0c8a130bd54988fe112176ed5c4a68ced10f4444","-18.42","-2.4283","0.550","0.00","-0.632","N","8"
"卡尔达舍夫时代","0x68558b48ce15812ac3012924bba1b25334cd4444","-2.97","-0.5369","0.714","0.00","-0.408","N","8"
"武BOT","0xf52134462d75c4bbe25b04ab8f6dae2e41e54444","0.66","0.0967","0.564","0.14","0.377","Y","8"
"CY广进","0xd0e116ae7fab39e0c26b7068806825d03d544444","-14.89","-1.6647","0.536","0.14","-0.419","N","8"
"新川普","0x95895d83172f14cfe486b6d79ec75d6cdf734444","-28.55","-3.1648","0.331","0.14","-0.406","N","8"
"CY广进","0x2d153256095198df9a79c34543df0399d8044444","-15.49","-2.4043","0.820","0.29","-0.596","N","8"
"㆗͏国游","0x367edb5be03fa2902035639fee37ea154aea4444","-47.03","-7.5551","0.480","0.00","-0.598","N","8"
"小马卡","0x69500293e8409a467ccf3fee1b8a649d27bd4444","-8.07","-1.5169","0.714","0.00","-0.408","N","8"
"普天同庆","0x656a5283abea0ec643c965768d86c0222cfd4444","0.26","-0.6864","0.060","0.43","0.051","N","8"
"春晚倒计时","0x0aabbad172df70a8fff2bc691ae942d5610a4444","1.12","-0.0736","0.014","0.29","0.106","N","8"
"大仲马","0x2915b4d19d2baee98eabfa98cdf972194121ffff","-0.04","-0.0079","0.762","0.00","-0.408","N","8"
"门神","0xc9499ee2ac3649cfafa45beb322d9b18595e4444","-13.41","-1.9705","0.701","0.00","-0.660","N","8"
"常臻好运","0x408d01694616180aa4c1b24e03482c0379bc4444","-0.03","-0.0036","0.571","0.00","-0.408","N","8"
"洗头日","0xee7903bc078440d1705444b896c9aecfa38e4444","-8.74","-0.7868","0.336","0.29","-0.403","N","8"
"XYLO","0x7ebe4844a3bb442d04df43ef4d78374de0064444","-0.35","-0.1327","0.135","0.14","-0.053","N","8"
"Japan","0x166b4376f9f1eebec4edf840cbd3f61797704444","-17.96","-4.5471","0.741","0.14","-0.324","N","8"
"浇头","0xeafd575f8155d75a48169cdc73204261b97b4444","0.38","0.0538","0.571","0.14","0.408","Y","8"
"海骝马","0x55b53adcc358766cdeeb9517d18e3e32b8594444","1.70","0.2391","0.571","0.14","0.408","N","8"
