"代币","地址","最大涨幅(%)","CV(%)","趋势评分","检测时涨幅(%)","检测时斜率","检测时上涨占比","加速度","动量强度","价格稳定性","价格区间(%)","高涨幅组","是否通过加速度>0","是否通过动量>0","是否通过涨幅>5%"
"鸡气人","0xca5151e6d43c2f37e8342acf1f949e68298f4444","1243.21","28.672","73.3","46.27","5.3891","66.7","0.0022","149.97","985.597","125.10","Y","Y","Y","Y"
"许我再少年","0xe04c362da8c0b6635092ed752efd7f08ce284444","196.28","10.615","55.4","4.04","1.6860","66.7","-4.8940","-44.74","7188.812","41.10","Y","N","N","N"
"贾科长DANCE","0x8a85e9fd74a12c99163b00619d1e1ed4576d4444","185.67","26.710","66.7","14.51","3.1862","33.3","0.3425","145.80","1135.485","102.38","Y","Y","Y","Y"
"白龙马","0x2a3e2874fb9b46c3f0f3b02aa6333387fb154444","162.43","26.876","73.3","103.36","8.8195","66.7","3.9097","-11.75","1122.312","128.74","Y","Y","N","Y"
"春晚指数6900","0xf5605ead2a10c12df89ec941a4b6bbe0eabc4444","137.58","5.827","72.8","13.96","1.6191","22.2","0.0000","-13.96","23859.923","13.96","Y","N","N","Y"
"丙午","0xc8de597173423b01998343c6ff1bd5073524ffff","129.40","25.173","62.2","33.40","5.9542","11.1","0.0000","-33.40","1278.678","114.83","Y","N","N","Y"
"机器人","0xe922980e81770ae6daca495c8d62b56142c84444","107.14","1.173","58.4","2.09","0.3399","22.2","0.0580","-2.09","588903.303","2.58","Y","Y","N","N"
"最难忘的今宵","0xd381987b8cc3ce0c57353fdc8eecc7743083ffff","73.96","73.118","71.1","2084.90","22.8818","55.6","0.0844","-1427.65","152.317","2269.04","Y","Y","N","Y"
"马上有奇迹","0x879f36f448da97684be97f21f82b480a8c204444","73.07","33.432","68.9","39.34","-1.2138","44.4","-14.2003","-326.21","724.724","266.48","Y","N","N","Y"
"马上发财","0xd0680f6e69d2e62293a728ddcdb8868573174444","42.17","4.628","74.7","9.85","0.4922","22.2","2.5079","20.62","37816.028","15.78","Y","Y","Y","Y"
"红鹅","0x2eb7178c0fbe6e2831ed3bdaa5a7557549f24444","39.27","3.587","67.7","7.54","1.0651","11.1","0.0000","7.54","62939.257","7.54","Y","N","Y","Y"
"银河机器人","0x3e189a84465138b65cf8e809c82374061fc5ffff","38.25","2.015","81.7","5.98","0.6694","88.9","0.1613","2.86","199583.119","6.22","Y","Y","Y","Y"
"Mugi","0xc538007adc32e92b34dbed188c538fdd38a24444","26.21","5.654","82.0","18.56","1.7574","66.7","-0.2741","-12.27","25337.481","18.56","Y","N","N","Y"
"转转","0x48f6b62800ca2e9fb1c4650c108992995a344444","24.04","43.924","68.9","466.31","11.9425","44.4","4.0852","-430.04","420.445","466.31","Y","Y","N","Y"
"银河机器人","0x70c0214e02a0c46b80d20b99a719b1d554abffff","21.02","27.655","68.9","549.28","5.1847","44.4","-11.5756","-523.14","1059.421","549.28","Y","N","N","Y"
"火马","0x457ff50b43272cb4c249095178f3e2a052fc4444","9.48","33.373","73.3","154.12","9.4352","66.7","4.5193","122.85","727.930","154.12","Y","Y","Y","Y"
"GDOG","0xafadd1cf54009190e053335deb98ff948baf4444","7.02","26.618","75.6","36.38","5.9177","77.8","-1.3138","52.52","1143.599","140.45","Y","N","Y","Y"
"嘎嘎滴辣虾","0x90b06eab4d86b915590c0a412f0442583acf4444","5.58","26.147","66.7","102.10","4.2460","33.3","2.4530","-27.67","1185.047","150.69","Y","Y","N","Y"
"沈腾一句dogeking骗我看了5年春晚","0x89744bffb3cce3ae2f44b28b832cdcccdec44444","4.01","26.091","47.5","3.60","4.1456","33.3","-0.2987","-55.40","1190.118","127.20","N","N","N","N"
"海骝马","0x55b53adcc358766cdeeb9517d18e3e32b8594444","3.95","0.669","56.0","1.70","0.1622","11.1","0.0000","-1.70","1810186.144","1.70","N","N","N","N"
"年夜饭","0xc61f75da6eddf3ff26c9757107b1815896e8ffff","0.82","30.718","68.9","114.66","8.6166","44.4","4.0121","105.07","859.070","114.66","N","Y","Y","Y"
